,facility,index,predate,postdate,change_area,image_area,proportion,model
0,Gunnedah_vickery,31,2019-01-01,2019-02-01,251300.0,36892400,0.006811701054959829,GT
1,Gunnedah_vickery,32,2019-02-01,2019-03-01,255400.0,36892400,0.0069228350554585765,GT
2,Gunnedah_vickery,33,2019-03-01,2019-04-01,475700.0,36892400,0.012894254643232753,GT
3,Gunnedah_vickery,34,2019-04-01,2019-05-01,361400.0,36892400,0.009796055556157908,GT
4,Gunnedah_vickery,35,2019-05-01,2019-06-01,407200.0,36892400,0.01103750365929026,GT
5,Gunnedah_vickery,36,2020-02-01,2020-03-01,638600.0,36892400,0.01730979822402446,GT
6,Gunnedah_vickery,37,2020-11-01,2020-12-01,672100.0,36892400,0.01821784432566057,GT
7,Werris Creek,72,2019-03-01,2019-04-01,864600.0,89015500,0.009712915166459774,GT
8,Werris Creek,73,2019-07-01,2019-08-01,647800.0,89015500,0.007277384275772197,GT
9,Werris Creek,74,2019-11-01,2019-12-01,747200.0,89015500,0.008394043733956446,GT
10,Werris Creek,75,2020-03-01,2020-04-01,942700.0,89015500,0.010590290455033112,GT
11,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,1115700.0,42801600,0.02606678255018504,GT
12,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,325900.0,42801600,0.007614201338267728,GT
13,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,542400.0,42801600,0.012672423460805203,GT
14,Mianchi,43,2019-03-01,2019-04-01,1424800.0,83148700,0.017135565559052636,GT
15,Mianchi,45,2019-05-01,2019-06-01,1126700.0,83148700,0.013550422315682627,GT
16,Mianchi,46,2019-06-01,2019-07-01,1261100.0,83148700,0.01516680356998967,GT
17,Mianchi,47,2020-02-01,2020-04-01,1864200.0,83148700,0.022420073915767776,GT
18,Gunnedah_vickery,31,2019-01-01,2019-02-01,235300.0,36892400,0.006378007394476911,TinyCD
19,Gunnedah_vickery,32,2019-02-01,2019-03-01,205100.0,36892400,0.005559410610315404,TinyCD
