facility,index,predate,postdate,change_area,image_area,proportion,cumulative_area,cumulative_prop,model
Amazon,0,2020-07-15,2020-11-02,1288400,169290000,0.007610609014117786,1288400,0.007610609014117786,TinyCD
Amazon,1,2020-11-02,2021-03-24,108200,169290000,0.0006391399373855514,1369300,0.008088487211294229,TinyCD
Amazon,2,2021-03-24,2021-05-23,74400,169290000,0.00043948254474570264,1441600,0.008515565006793077,TinyCD
Amazon,3,2021-05-23,2021-11-24,329600,169290000,0.0019469549294110697,1767000,0.010437710437710438,TinyCD
Amazon,4,2021-11-24,2022-01-18,996300,169290000,0.005885167464114833,2750700,0.016248449406344144,TinyCD
Amazon,5,2022-01-18,2022-03-07,1199200,169290000,0.007083702522299014,3728000,0.022021383424892196,TinyCD
Amazon,6,2022-03-07,2022-11-27,1108500,169290000,0.006547935495303916,4718900,0.02787465296237226,TinyCD
Amazon_baseline,7,2020-03-22,2020-05-01,133300,166662000,0.0007998223950270607,133300,0.0007998223950270607,TinyCD
Amazon_baseline,8,2020-05-01,2020-07-15,427400,166662000,0.002564471805210546,560700,0.0033642942002376068,TinyCD
Amazon_baseline,9,2020-07-15,2020-11-02,2128800,166662000,0.012773157648414156,2494500,0.014967419087734456,TinyCD
Amazon_baseline,10,2020-11-02,2021-01-28,962800,166662000,0.005776961754929138,3276600,0.01966015048421356,TinyCD
Amazon_baseline,11,2021-01-28,2021-03-24,497900,166662000,0.0029874836495421874,3572400,0.02143500018000504,TinyCD
Amazon_baseline,12,2021-03-24,2021-05-23,29900,166662000,0.00017940502334065354,3601300,0.02160840503534099,TinyCD
Amazon_baseline,13,2021-05-23,2021-07-27,435900,166662000,0.002615473233250531,4035400,0.024213077966183053,TinyCD
Amazon_baseline,14,2021-07-27,2021-09-15,7200,166662000,4.320120963386975e-05,4042600,0.024256279175816922,TinyCD
Amazon_baseline,15,2021-09-15,2021-11-24,119000,166662000,0.0007140199925597917,4138100,0.024829295220266168,TinyCD
Amazon_baseline,16,2021-11-24,2022-01-18,780700,166662000,0.004684331161272515,4861000,0.029166816670866784,TinyCD
Amazon_baseline,17,2022-01-18,2022-03-07,114500,166662000,0.0006870192365386231,4954500,0.02972783237930662,TinyCD
Amazon_baseline,18,2022-03-07,2022-07-07,1000,166662000,6.000168004704132e-06,4955500,0.029733832547311326,TinyCD
Amazon_baseline,19,2022-07-07,2022-09-08,2138000,166662000,0.012828359194057434,7030700,0.04218538119067334,TinyCD
Amazon_baseline,20,2022-09-08,2022-11-27,3681900,166662000,0.022092018576520142,9651100,0.057908221430200045,TinyCD
Carrapateena,21,2019-01-25,2019-03-26,39800,4743000,0.008391313514653173,39800,0.008391313514653173,TinyCD
Carrapateena,22,2019-03-26,2019-05-05,34600,4743000,0.007294960995150749,71500,0.015074847143158338,TinyCD
Carrapateena,23,2019-05-05,2019-07-14,117900,4743000,0.024857685009487665,171300,0.03611638203668564,TinyCD
Carrapateena,24,2019-07-14,2019-09-02,182400,4743000,0.03845667299177736,294600,0.06211258697027198,TinyCD
Carrapateena,25,2019-09-02,2019-11-16,196900,4743000,0.04151380982500527,376200,0.0793168880455408,TinyCD
Carrapateena,26,2019-11-16,2020-01-15,151500,4743000,0.03194180898165718,440400,0.09285262492093611,TinyCD
Carrapateena,27,2020-01-15,2020-03-20,113200,4743000,0.02386675100147586,511100,0.10775880244570947,TinyCD
Carrapateena,28,2020-03-20,2020-05-04,27900,4743000,0.0058823529411764705,525000,0.11068943706514864,TinyCD
Carrapateena,29,2020-05-04,2020-07-23,81900,4743000,0.01726755218216319,557700,0.11758380771663504,TinyCD
Carrapateena,30,2020-07-23,2020-09-11,40100,4743000,0.008454564621547544,564800,0.11908075057980182,TinyCD
Carrapateena,31,2020-09-11,2020-11-25,44600,4743000,0.009403331224963103,586500,0.12365591397849462,TinyCD
Carrapateena_baseline,32,2019-01-25,2019-03-26,0,4781700,0.0,0,0.0,TinyCD
Carrapateena_baseline,33,2019-03-26,2019-05-05,0,4781700,0.0,0,0.0,TinyCD
Carrapateena_baseline,34,2019-05-05,2019-07-14,0,4781700,0.0,0,0.0,TinyCD
Carrapateena_baseline,35,2019-07-14,2020-05-04,0,4781700,0.0,0,0.0,TinyCD
Carrapateena_baseline,36,2020-05-04,2020-09-11,0,4781700,0.0,0,0.0,TinyCD
Carrapateena_baseline,37,2020-09-11,2020-11-25,0,4781700,0.0,0,0.0,TinyCD
Craters,38,2020-01-06,2020-03-11,97300,83030000,0.0011718655907503313,97300,0.0011718655907503313,TinyCD
Craters,39,2020-03-11,2020-05-10,81700,83030000,0.0009839816933638443,175200,0.0021100806937251596,TinyCD
Craters,40,2020-05-10,2020-07-09,102600,83030000,0.0012356979405034325,274000,0.0033000120438395762,TinyCD
Craters,41,2020-07-09,2020-09-07,3700,83030000,4.4562206431410334e-05,277500,0.003342165482355775,TinyCD
Craters,42,2020-09-07,2020-11-01,2500,83030000,3.0109598940142117e-05,280000,0.003372275081295917,TinyCD
Craters,43,2020-11-01,2021-01-15,1107700,83030000,0.01334096109839817,1379900,0.016619294231000843,TinyCD
Craters,44,2021-01-15,2021-03-06,1962100,83030000,0.02363121763218114,2970800,0.03577983861254968,TinyCD
Craters,45,2021-03-06,2021-05-05,378200,83030000,0.004554980127664699,3271500,0.039401421173069974,TinyCD
Craters,46,2021-05-05,2021-07-24,158400,83030000,0.0019077441888474046,3390900,0.04083945561845116,TinyCD
Craters,47,2021-07-24,2021-09-27,6800,83030000,8.189810911718655e-05,3397500,0.04091894495965314,TinyCD
Craters,48,2021-09-27,2021-11-21,144800,83030000,0.0017439479706130314,3528900,0.04250150547994701,TinyCD
Craters,49,2021-11-21,2022-01-10,35000,83030000,0.00042153438516198964,3560500,0.0428820908105504,TinyCD
Craters,50,2022-01-10,2022-03-11,313700,83030000,0.003778152475009033,3841200,0.04626279657954956,TinyCD
Craters,51,2022-03-11,2022-05-15,166100,83030000,0.0020004817535830425,3963800,0.04773937131157413,TinyCD
Craters,52,2022-05-15,2022-07-24,51700,83030000,0.000622666506082139,4002400,0.04820426351920992,TinyCD
Craters,53,2022-07-24,2022-09-02,0,83030000,0.0,4002400,0.04820426351920992,TinyCD
Craters,54,2022-09-02,2022-11-06,40600,83030000,0.000488979886787908,4024800,0.0484740455257136,TinyCD
Craters_baseline,55,2020-03-11,2020-05-10,227200,78234200,0.0029041007641159495,227200,0.0029041007641159495,TinyCD
Craters_baseline,56,2020-05-10,2020-11-01,7600,78234200,9.714421570106168e-05,234800,0.003001244979817011,TinyCD
Craters_baseline,57,2020-11-01,2021-01-15,301100,78234200,0.0038487004404723253,533900,0.0068243811529995835,TinyCD
Craters_baseline,58,2021-01-15,2022-05-15,2188800,78234200,0.027977534121905765,2609600,0.03335625595966981,TinyCD
Craters_baseline,59,2022-05-15,2022-07-24,128600,78234200,0.0016437823867311227,2721000,0.03478018564770906,TinyCD
Iluka Western Australia,60,2019-01-27,2019-03-23,1267900,19535500,0.06490235724706304,1267900,0.06490235724706304,TinyCD
Iluka Western Australia,61,2019-03-23,2019-05-02,1599400,19535500,0.08187146476926621,2116700,0.10835146272171176,TinyCD
Iluka Western Australia,62,2019-05-02,2019-07-16,1495100,19535500,0.07653246653528192,2718200,0.1391415627959356,TinyCD
Iluka Western Australia,63,2019-07-16,2019-09-29,1410100,19535500,0.0721814133244606,3058700,0.1565713700698728,TinyCD
Iluka Western Australia,64,2019-09-29,2019-11-13,1214700,19535500,0.06217910982570193,3236800,0.16568810626807606,TinyCD
Iluka Western Australia,65,2019-11-13,2020-01-07,1501300,19535500,0.07684983747536536,3491100,0.1787054336976274,TinyCD
Iluka Western Australia,66,2020-01-07,2020-03-22,1543100,19535500,0.07898953187786338,3846500,0.1968979550049909,TinyCD
