,facility,index,predate,postdate,NDTCI,model
0,Amazon,0,2020-07-15,2020-11-02,0.00012463807017556324,DDPMCD
1,Amazon,1,2020-11-02,2021-03-24,0.005368297543865016,DDPMCD
2,Amazon,2,2021-03-24,2021-05-23,0.034517066315823984,DDPMCD
3,Amazon,3,2021-05-23,2021-11-24,0.001683500000001684,DDPMCD
4,Amazon,4,2021-11-24,2022-01-18,0.00230491824561634,DDPMCD
5,Amazon,5,2022-01-18,2022-03-07,0.024659435438621143,DDPMCD
6,Amazon,6,2022-03-07,2022-11-27,0.0273636680702028,DDPMCD
7,Amazon_baseline,7,2020-03-22,2020-05-01,0.0011670315098834445,DDPMCD
8,Amazon_baseline,8,2020-05-01,2020-07-15,0.004602724273684266,DDPMCD
9,Amazon_baseline,9,2020-07-15,2020-11-02,0.0003006081164275606,DDPMCD
10,Amazon_baseline,10,2020-11-02,2021-01-28,0.0007524203153695827,DDPMCD
11,Amazon_baseline,11,2021-01-28,2021-03-24,0.03267928234153825,DDPMCD
12,Amazon_baseline,12,2021-03-24,2021-05-23,0.025470087693080866,DDPMCD
13,Amazon_baseline,13,2021-05-23,2021-07-27,0.0013182355923979058,DDPMCD
14,Amazon_baseline,14,2021-07-27,2021-09-15,6.60017820499634e-06,DDPMCD
15,Amazon_baseline,15,2021-09-15,2021-11-24,5.580150664224179e-05,DDPMCD
16,Amazon_baseline,16,2021-11-24,2022-01-18,0.0014688396587119136,DDPMCD
17,Amazon_baseline,17,2022-01-18,2022-03-07,0.03328769876879883,DDPMCD
18,Amazon_baseline,18,2022-03-07,2022-07-07,0.015449817145495528,DDPMCD
19,Amazon_baseline,19,2022-07-07,2022-09-08,0.00039361062749796355,DDPMCD
20,Amazon_baseline,20,2022-09-08,2022-11-27,0.0027642746354925563,DDPMCD
21,Carrapateena,21,2019-01-25,2019-03-26,0.05127551271352376,DDPMCD
22,Carrapateena,22,2019-03-26,2019-05-05,0.006388355407976028,DDPMCD
23,Carrapateena,23,2019-05-05,2019-07-14,0.07094658728659846,DDPMCD
24,Carrapateena,24,2019-07-14,2019-09-02,0.05195019051238592,DDPMCD
25,Carrapateena,25,2019-09-02,2019-11-16,0.06976590113858969,DDPMCD
26,Carrapateena,26,2019-11-16,2020-01-15,0.09106041916517646,DDPMCD
27,Carrapateena,27,2020-01-15,2020-03-20,0.06491665445926796,DDPMCD
28,Carrapateena,28,2020-03-20,2020-05-04,0.019860827704004682,DDPMCD
29,Carrapateena,29,2020-05-04,2020-07-23,0.031414685009519085,DDPMCD
30,Carrapateena,30,2020-07-23,2020-09-11,0.0031836358633807933,DDPMCD
31,Carrapateena,31,2020-09-11,2020-11-25,0.0238034760911054,DDPMCD
32,Carrapateena_baseline,32,2019-01-25,2019-03-26,0.0,DDPMCD
33,Carrapateena_baseline,33,2019-03-26,2019-05-05,0.0,DDPMCD
34,Carrapateena_baseline,34,2019-05-05,2019-07-14,0.0,DDPMCD
35,Carrapateena_baseline,35,2019-07-14,2020-05-04,0.00020913043478281785,DDPMCD
36,Carrapateena_baseline,36,2020-05-04,2020-09-11,0.0,DDPMCD
37,Carrapateena_baseline,37,2020-09-11,2020-11-25,0.0,DDPMCD
38,Craters,38,2020-01-06,2020-03-11,6.50366686740383e-05,DDPMCD
39,Craters,39,2020-03-11,2020-05-10,0.00687702552090294,DDPMCD
40,Craters,40,2020-05-10,2020-07-09,3.854024810313381e-05,DDPMCD
41,Craters,41,2020-07-09,2020-09-07,0.0,DDPMCD
42,Craters,42,2020-09-07,2020-11-01,8.430679272560521e-06,DDPMCD
43,Craters,43,2020-11-01,2021-01-15,0.11682994459363728,DDPMCD
44,Craters,44,2021-01-15,2021-03-06,0.050222760809396236,DDPMCD
45,Craters,45,2021-03-06,2021-05-05,0.027287700039771965,DDPMCD
46,Craters,46,2021-05-05,2021-07-24,0.007400932018554916,DDPMCD
47,Craters,47,2021-07-24,2021-09-27,0.0001987231542817837,DDPMCD
48,Craters,48,2021-09-27,2021-11-21,0.008748636319411375,DDPMCD
49,Craters,49,2021-11-21,2022-01-10,0.0,DDPMCD
50,Craters,50,2022-01-10,2022-03-11,0.028757046998703954,DDPMCD
51,Craters,51,2022-03-11,2022-05-15,4.335777911602553e-05,DDPMCD
52,Craters,52,2022-05-15,2022-07-24,1.2043827532229315e-06,DDPMCD
53,Craters,53,2022-07-24,2022-09-02,2.408765506445863e-06,DDPMCD
54,Craters,54,2022-09-02,2022-11-06,0.00022281080934624233,DDPMCD
55,Craters_baseline,55,2020-03-11,2020-05-10,0.008595976280203192,DDPMCD
56,Craters_baseline,56,2020-05-10,2020-11-01,8.947484603928974e-06,DDPMCD
57,Craters_baseline,57,2020-11-01,2021-01-15,0.0469270003234349,DDPMCD
58,Craters_baseline,58,2021-01-15,2022-05-15,0.026977944292932134,DDPMCD
59,Craters_baseline,59,2022-05-15,2022-07-24,3.323351424316476e-05,DDPMCD
60,Iluka Western Australia,60,2019-01-27,2019-03-23,0.13164226297266884,DDPMCD
61,Iluka Western Australia,61,2019-03-23,2019-05-02,0.09054276733135928,DDPMCD
62,Iluka Western Australia,62,2019-05-02,2019-07-16,0.11916243106663911,DDPMCD
63,Iluka Western Australia,63,2019-07-16,2019-09-29,0.1154051724042003,DDPMCD
64,Iluka Western Australia,64,2019-09-29,2019-11-13,0.0740036627832124,DDPMCD
65,Iluka Western Australia,65,2019-11-13,2020-01-07,0.08235255771296403,DDPMCD
66,Iluka Western Australia,66,2020-01-07,2020-03-22,0.11185266898222138,DDPMCD
67,Iluka Western Australia,67,2020-03-22,2020-05-21,0.10562810967224097,DDPMCD
68,Iluka Western Australia,68,2020-05-21,2020-07-20,0.10880693478038064,DDPMCD
69,Iluka Western Australia,69,2020-07-20,2020-09-23,0.1019681097490206,DDPMCD
70,Iluka Western Australia,70,2020-09-23,2020-11-07,0.06856741114900256,DDPMCD
71,Iluka Western Australia_baseline,71,2019-01-27,2019-03-23,0.02761084715585411,DDPMCD
72,Iluka Western Australia_baseline,72,2019-03-23,2019-05-02,0.005881802420952333,DDPMCD
73,Iluka Western Australia_baseline,73,2019-05-02,2019-07-16,0.00284100315775908,DDPMCD
74,Iluka Western Australia_baseline,74,2019-07-16,2019-09-29,0.005253175650196034,DDPMCD
75,Iluka Western Australia_baseline,75,2019-09-29,2019-11-13,0.020447425814677702,DDPMCD
76,Iluka Western Australia_baseline,76,2019-11-13,2020-01-07,0.03300046892683446,DDPMCD
77,Iluka Western Australia_baseline,77,2020-01-07,2020-03-22,0.08809546326924295,DDPMCD
78,Iluka Western Australia_baseline,78,2020-03-22,2020-05-21,0.00886412477523802,DDPMCD
79,Iluka Western Australia_baseline,79,2020-05-21,2020-07-20,0.00044832296829131277,DDPMCD
80,Iluka Western Australia_baseline,80,2020-07-20,2020-09-23,0.000955122845490188,DDPMCD
81,Iluka Western Australia_baseline,81,2020-09-23,2020-11-07,0.006525048418935519,DDPMCD
82,London,82,2020-01-19,2020-03-27,0.00035067002663637727,DDPMCD
83,London,83,2020-03-27,2020-05-21,0.0008580224055996463,DDPMCD
84,London,84,2020-05-21,2020-07-20,0.032343714158908396,DDPMCD
85,London,85,2020-07-20,2020-09-20,0.0298405270538764,DDPMCD
86,London,86,2020-09-20,2020-11-04,0.0005819630229284558,DDPMCD
87,London,87,2020-11-04,2021-01-21,0.1641993747063845,DDPMCD
88,London,88,2021-01-21,2021-03-09,0.28663917198545413,DDPMCD
89,London,89,2021-03-09,2021-07-22,0.005271241996140438,DDPMCD
90,London,90,2021-07-22,2021-09-08,0.002585258813393718,DDPMCD
91,London,91,2021-09-08,2021-11-02,0.00044020279939460113,DDPMCD
92,London,92,2021-11-02,2022-01-13,0.0016451646994323653,DDPMCD
93,London,93,2022-01-13,2022-03-19,0.0005745019585319371,DDPMCD
94,London,94,2022-03-19,2022-05-08,0.007110394369882288,DDPMCD
95,London,95,2022-05-08,2022-07-10,0.012094385386756756,DDPMCD
96,London,96,2022-07-10,2022-09-25,0.004730314827392834,DDPMCD
97,London,97,2022-09-25,2022-11-04,0.003510430798562032,DDPMCD
98,London_baseline,98,2020-01-19,2020-03-27,0.00019630773305104378,DDPMCD
99,London_baseline,99,2020-03-27,2020-05-21,0.005541063559327575,DDPMCD
100,London_baseline,100,2020-05-21,2020-07-20,0.005241046080513716,DDPMCD
101,London_baseline,101,2020-07-20,2020-09-20,0.029379489406809036,DDPMCD
102,London_baseline,102,2020-09-20,2020-11-04,0.00025557044491550986,DDPMCD
103,London_baseline,103,2020-11-04,2021-01-21,0.06974110010600194,DDPMCD
104,London_baseline,104,2021-01-21,2021-03-09,0.16650970074169194,DDPMCD
105,London_baseline,105,2021-03-09,2021-07-22,0.0011667346398316753,DDPMCD
106,London_baseline,106,2021-07-22,2021-09-08,0.0006037388771192478,DDPMCD
107,London_baseline,107,2021-09-08,2021-11-02,0.00011111758474587385,DDPMCD
108,London_baseline,108,2021-11-02,2022-01-13,0.0007148564618651218,DDPMCD
109,London_baseline,109,2022-01-13,2022-03-19,0.00012222934322046123,DDPMCD
110,London_baseline,110,2022-03-19,2022-05-08,0.0024001398305108744,DDPMCD
111,London_baseline,111,2022-05-08,2022-07-10,0.00657816101695573,DDPMCD
112,London_baseline,112,2022-07-10,2022-09-25,0.01024133739407804,DDPMCD
113,London_baseline,113,2022-09-25,2022-11-04,0.0008667171610178161,DDPMCD
114,Meliadine,114,2019-07-21,2019-09-13,0.005880460280129906,DDPMCD
115,Meliadine,115,2019-09-13,2020-07-12,0.015725776355195883,DDPMCD
116,Meliadine,116,2020-07-12,2020-09-27,0.05663506934946325,DDPMCD
117,Meliadine_baseline,117,2019-01-29,2019-03-12,9.323434943346092e-06,DDPMCD
118,Meliadine_baseline,118,2019-03-12,2019-05-01,0.0,DDPMCD
119,Meliadine_baseline,119,2019-05-01,2019-07-21,0.0,DDPMCD
120,Meliadine_baseline,120,2019-07-21,2019-09-13,0.0,DDPMCD
121,Meliadine_baseline,121,2019-09-13,2019-11-17,0.0,DDPMCD
122,Meliadine_baseline,122,2019-11-17,2020-01-26,0.0004894803345256698,DDPMCD
123,Meliadine_baseline,123,2020-01-26,2020-03-04,4.661717471673046e-06,DDPMCD
124,Meliadine_baseline,124,2020-03-04,2020-05-13,0.0015989690927838548,DDPMCD
125,Meliadine_baseline,125,2020-05-13,2020-07-12,0.0,DDPMCD
126,Meliadine_baseline,126,2020-07-12,2020-09-27,0.0,DDPMCD
127,Meliadine_baseline,127,2020-09-27,2020-11-12,0.0,DDPMCD
128,Merthyr Tydfil,128,2021-01-09,2021-03-25,0.014722785153326527,DDPMCD
129,Merthyr Tydfil,129,2021-03-25,2021-05-19,0.0004590500254418112,DDPMCD
130,Merthyr Tydfil,130,2021-05-19,2021-07-18,0.0016702784058244217,DDPMCD
131,Merthyr Tydfil,131,2021-07-18,2021-09-06,0.002328434466397621,DDPMCD
132,Merthyr Tydfil,132,2021-09-06,2021-11-25,0.007665582352558437,DDPMCD
133,Merthyr Tydfil,133,2021-11-25,2022-01-14,0.004916812923105666,DDPMCD
134,Merthyr Tydfil,134,2022-01-14,2022-03-20,0.009662173427070413,DDPMCD
135,Merthyr Tydfil,135,2022-03-20,2022-05-14,0.0030695513749422324,DDPMCD
136,Merthyr Tydfil,136,2022-05-14,2022-07-18,0.00519334908301037,DDPMCD
137,Merthyr Tydfil,137,2022-07-18,2022-09-16,0.001576256111456822,DDPMCD
138,Merthyr Tydfil,138,2022-09-16,2022-11-25,0.006233125044252064,DDPMCD
139,Merthyr Tydfil,139,2022-11-25,2023-01-19,0.01365535557609436,DDPMCD
140,Merthyr Tydfil,140,2023-01-19,2023-05-24,0.00017698314233901156,DDPMCD
141,Merthyr Tydfil_baseline,141,2021-01-09,2021-03-25,0.013514900685260548,DDPMCD
142,Merthyr Tydfil_baseline,142,2021-03-25,2021-05-19,0.0038581096971131517,DDPMCD
143,Merthyr Tydfil_baseline,143,2021-05-19,2021-07-18,0.0002879186341129218,DDPMCD
144,Merthyr Tydfil_baseline,144,2021-07-18,2021-09-06,0.0,DDPMCD
145,Merthyr Tydfil_baseline,145,2021-09-06,2021-11-25,0.0,DDPMCD
146,Merthyr Tydfil_baseline,146,2021-11-25,2022-01-14,0.00047218655994519176,DDPMCD
147,Merthyr Tydfil_baseline,147,2022-01-14,2022-03-20,0.00014971768973871935,DDPMCD
148,Merthyr Tydfil_baseline,148,2022-03-20,2022-05-14,0.011194276494310401,DDPMCD
149,Merthyr Tydfil_baseline,149,2022-05-14,2022-07-18,0.0006391793677306864,DDPMCD
150,Merthyr Tydfil_baseline,150,2022-07-18,2022-09-16,0.0,DDPMCD
