,facility,index,predate,postdate,NDTCI,model
0,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.006928249297965316,DDPMCD
1,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.0061286274110718235,DDPMCD
2,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.01764047199967069,DDPMCD
3,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.009760808185435484,DDPMCD
4,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.011574187989949886,DDPMCD
5,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.016293312413955208,DDPMCD
6,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.0261002005047371,DDPMCD
7,Werris Creek,72,2019-03-01,2019-04-01,0.009480361915630918,DDPMCD
8,Werris Creek,73,2019-07-01,2019-08-01,0.0053799565367883,DDPMCD
9,Werris Creek,74,2019-11-01,2019-12-01,0.0068100431250805345,DDPMCD
10,Werris Creek,75,2020-03-01,2020-04-01,0.009746607415572206,DDPMCD
11,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.023975715248986635,DDPMCD
12,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.0069179587655670855,DDPMCD
13,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.016106858402505732,DDPMCD
14,Mianchi,43,2019-03-01,2019-04-01,0.009658589934668888,DDPMCD
15,Mianchi,44,2019-04-01,2019-05-01,0.013330321359216786,DDPMCD
16,Mianchi,45,2019-05-01,2019-06-01,0.007267695053567935,DDPMCD
17,Mianchi,46,2019-06-01,2019-07-01,0.010091548766256592,DDPMCD
18,Mianchi,47,2020-02-01,2020-04-01,0.010327270796787667,DDPMCD
19,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.00784984740489341,TinyCD
20,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.00699872444731864,TinyCD
21,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.008671153953126384,TinyCD
22,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.006670743944558938,TinyCD
23,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.0099749442161629,TinyCD
24,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.011419684777906053,TinyCD
25,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.015824381612488853,TinyCD
26,Werris Creek,72,2019-03-01,2019-04-01,0.008287312460197805,TinyCD
27,Werris Creek,73,2019-07-01,2019-08-01,0.006814536720016253,TinyCD
28,Werris Creek,74,2019-11-01,2019-12-01,0.010750925883705163,TinyCD
29,Werris Creek,75,2020-03-01,2020-04-01,0.007447010207218552,TinyCD
30,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.01076827826764562,TinyCD
31,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.004485809128635191,TinyCD
32,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.006469377852703567,TinyCD
33,Mianchi,43,2019-03-01,2019-04-01,0.014763896157140495,TinyCD
34,Mianchi,44,2019-04-01,2019-05-01,0.01891428762327701,TinyCD
35,Mianchi,45,2019-05-01,2019-06-01,0.009469771777559812,TinyCD
36,Mianchi,46,2019-06-01,2019-07-01,0.010903346575483521,TinyCD
37,Mianchi,47,2020-02-01,2020-04-01,0.008958639823602114,TinyCD
38,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.005716618845621616,LSNet
39,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.0048790488013840255,LSNet
40,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.009131953006590433,LSNet
41,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.005982255947030301,LSNet
42,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.006676165109893808,LSNet
43,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.015057286717604592,LSNet
44,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.0117964557686796,LSNet
45,Werris Creek,72,2019-03-01,2019-04-01,0.007458244194557845,LSNet
46,Werris Creek,73,2019-07-01,2019-08-01,0.004403723037003579,LSNet
47,Werris Creek,74,2019-11-01,2019-12-01,0.007112237384507565,LSNet
48,Werris Creek,75,2020-03-01,2020-04-01,0.004614921998982322,LSNet
49,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.010455206172209623,LSNet
50,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.0016447966804995703,LSNet
51,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.010595387707479477,LSNet
52,Mianchi,43,2019-03-01,2019-04-01,0.014233521588445562,LSNet
53,Mianchi,44,2019-04-01,2019-05-01,0.010689272486531828,LSNet
54,Mianchi,45,2019-05-01,2019-06-01,0.006132380784071309,LSNet
55,Mianchi,46,2019-06-01,2019-07-01,0.008323633537273487,LSNet
56,Mianchi,47,2020-02-01,2020-04-01,0.010927399843905061,LSNet
57,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.006811694243265586,GT
58,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.006922828132630444,GT
59,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.012894241748991004,GT
60,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.009796045760112148,GT
61,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.011037492621797637,GT
62,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.01730978091424355,GT
63,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.018217826107834463,GT
64,Werris Creek,72,2019-03-01,2019-04-01,0.009712905453554323,GT
65,Werris Creek,73,2019-07-01,2019-08-01,0.0072773769983951984,GT
66,Werris Creek,74,2019-11-01,2019-12-01,0.008394035339921104,GT
67,Werris Creek,75,2020-03-01,2020-04-01,0.01059027986475325,GT
68,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.026066756483428558,GT
69,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.007614193724074006,GT
70,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.012672410788394416,GT
71,Mianchi,43,2019-03-01,2019-04-01,0.017135548423504218,GT
72,Mianchi,45,2019-05-01,2019-06-01,0.013550408765273863,GT
73,Mianchi,46,2019-06-01,2019-07-01,0.015166788403201265,GT
74,Mianchi,47,2020-02-01,2020-04-01,0.022420051495716273,GT
