,facility,index,predate,postdate,NDTCI,model
0,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.006928249297965316,DDPMCD
1,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.0061286274110718235,DDPMCD
2,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.019117739553423076,DDPMCD
3,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.009825862169453938,DDPMCD
4,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.012696369214268213,DDPMCD
5,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.02055976953249879,DDPMCD
6,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.04500380402743276,DDPMCD
7,Werris Creek,72,2019-03-01,2019-04-01,0.01073632170016408,DDPMCD
8,Werris Creek,73,2019-07-01,2019-08-01,0.005786626878470775,DDPMCD
9,Werris Creek,74,2019-11-01,2019-12-01,0.0077087621122241224,DDPMCD
10,Werris Creek,75,2020-03-01,2020-04-01,0.010753172681173023,DDPMCD
11,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.03059695643156588,DDPMCD
12,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.009506644450216978,DDPMCD
13,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.0211160119294817,DDPMCD
14,Mianchi,43,2019-03-01,2019-04-01,0.014696547005560183,DDPMCD
15,Mianchi,44,2019-04-01,2019-05-01,0.018095273833523613,DDPMCD
16,Mianchi,45,2019-05-01,2019-06-01,0.06315185624075004,DDPMCD
17,Mianchi,46,2019-06-01,2019-07-01,0.03683637792416555,DDPMCD
18,Mianchi,47,2020-02-01,2020-04-01,0.02015182828356518,DDPMCD
19,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.00784984740489341,TinyCD
20,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.00699872444731864,TinyCD
21,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.008822946582502777,TinyCD
22,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.006670743944558938,TinyCD
23,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.0099749442161629,TinyCD
24,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.01148202817925707,TinyCD
25,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.02078745847656338,TinyCD
26,Werris Creek,72,2019-03-01,2019-04-01,0.008325508017151408,TinyCD
27,Werris Creek,73,2019-07-01,2019-08-01,0.007399827460393514,TinyCD
28,Werris Creek,74,2019-11-01,2019-12-01,0.01207653638974195,TinyCD
29,Werris Creek,75,2020-03-01,2020-04-01,0.008012079770385084,TinyCD
30,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.013268182313291275,TinyCD
31,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.005618943205399809,TinyCD
32,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.009936534491711183,TinyCD
33,Mianchi,43,2019-03-01,2019-04-01,0.018772373339589928,TinyCD
34,Mianchi,44,2019-04-01,2019-05-01,0.02441767543812508,TinyCD
35,Mianchi,45,2019-05-01,2019-06-01,0.029939103204289302,TinyCD
36,Mianchi,46,2019-06-01,2019-07-01,0.02509838293445462,TinyCD
37,Mianchi,47,2020-02-01,2020-04-01,0.013677891087908017,TinyCD
38,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.005716618845621616,LSNet
39,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.0048790488013840255,LSNet
40,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.009199717573276324,LSNet
41,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.005982255947030301,LSNet
42,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.006676165109893808,LSNet
43,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.015073550213609203,LSNet
44,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.011842535674026005,LSNet
45,Werris Creek,72,2019-03-01,2019-04-01,0.007458244194557845,LSNet
46,Werris Creek,73,2019-07-01,2019-08-01,0.0044542759800304055,LSNet
47,Werris Creek,74,2019-11-01,2019-12-01,0.007112237384507565,LSNet
48,Werris Creek,75,2020-03-01,2020-04-01,0.004614921998982322,LSNet
49,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.010887432572624988,LSNet
50,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.002109732105811239,LSNet
51,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.011737867219928746,LSNet
52,Mianchi,43,2019-03-01,2019-04-01,0.018721861475904697,LSNet
53,Mianchi,44,2019-04-01,2019-05-01,0.01803514066246976,LSNet
54,Mianchi,45,2019-05-01,2019-06-01,0.048295355000186606,LSNet
55,Mianchi,46,2019-06-01,2019-07-01,0.027500101786345262,LSNet
56,Mianchi,47,2020-02-01,2020-04-01,0.016039922046903122,LSNet
57,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.006811694243265586,GT
58,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.006922828132630444,GT
59,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.012894241748991004,GT
60,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.009796045760112148,GT
61,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.011037492621797637,GT
62,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.01730978091424355,GT
63,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.018217826107834463,GT
64,Werris Creek,72,2019-03-01,2019-04-01,0.009712905453554323,GT
65,Werris Creek,73,2019-07-01,2019-08-01,0.0072773769983951984,GT
66,Werris Creek,74,2019-11-01,2019-12-01,0.008394035339921104,GT
67,Werris Creek,75,2020-03-01,2020-04-01,0.01059027986475325,GT
68,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.026066756483428558,GT
69,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.007614193724074006,GT
70,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.012672410788394416,GT
71,Mianchi,43,2019-03-01,2019-04-01,0.017135548423504218,GT
72,Mianchi,45,2019-05-01,2019-06-01,0.013550408765273863,GT
73,Mianchi,46,2019-06-01,2019-07-01,0.015166788403201265,GT
74,Mianchi,47,2020-02-01,2020-04-01,0.022420051495716273,GT
